"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1884","Ed Cushman","Brewers","11.75","0.75","15.67","0.00","","","",".090","0.36",".155","69.2%","8","10","","1.00","0.91","0.09","","","1002908"
"1884","Lady Baldwin","Brewers","11.12","0.53","21.00","0.00","","","",".127","0.47",".206","37.5%","20","11","","2.65","0.98","1.67","","","1000483"
"1908","Christy Mathewson","Giants","5.97","0.97","6.17","0.12","","","",".206","0.84",".249","75.9%","61","48","","1.43","1.26","0.16","","","1008235"
"1884","Henry Porter","Brewers","12.53","1.59","7.89","0.18","","","",".182","0.80",".299","40.4%","23","13","","3.00","1.27","1.73","","","1010452"
"1910","Walter Johnson","Senators","7.61","1.85","4.12","0.02","","","",".201","0.91",".263","74.1%","56","54","","1.36","1.28","0.08","","","1006511"
"1908","Ed Walsh","White Sox","5.22","1.09","4.80","0.04","","","",".208","0.86",".247","73.1%","63","70","","1.42","1.36","0.06","","","1013570"
"1999","Pedro Martinez","Red Sox","13.20","1.56","8.46","0.38","37.5%","4.4%","33.1%",".203","0.92",".323","77.6%","42","31","","2.07","1.39","0.67","","","200"
"1907","Rube Waddell","Athletics","7.33","2.31","3.18","0.06","","","",".226","1.08",".289","65.0%","83","67","","2.15","1.41","0.74","","","1013467"
"1908","Rube Waddell","Browns","7.31","2.84","2.58","0.00","","","",".217","1.10",".280","71.0%","82","71","","1.89","1.42","0.47","","","1013467"
"1908","Walter Johnson","Senators","5.62","1.86","3.02","0.00","","","",".212","0.96",".256","70.9%","72","77","","1.65","1.47","0.18","","","1006511"
"1904","Rube Waddell","Athletics","8.20","2.14","3.84","0.12","","","",".221","1.04",".292","74.9%","61","63","","1.62","1.48","0.14","","","1013467"
"1908","Cy Young","Red Sox","4.52","1.11","4.05","0.03","","","",".214","0.89",".248","75.1%","52","69","","1.26","1.51","-0.25","","","1014369"
"1909","Chief Bender","Athletics","5.80","1.62","3.58","0.04","","","",".218","0.96",".264","72.8%","69","69","","1.66","1.52","0.14","","","1000827"
"1884","The Only Nolan","Quicksteps","11.70","1.58","7.43","0.23","","","",".281","1.28",".414","46.4%","93","61","","2.93","1.52","1.41","","","1009618"
"1910","Ed Walsh","White Sox","6.28","1.49","4.23","0.12","","","",".188","0.82",".232","72.3%","52","64","","1.27","1.60","-0.33","","","1013570"
"1905","Cy Young","Americans","5.89","0.84","7.00","0.08","","","",".215","0.87",".261","66.6%","67","60","","1.82","1.61","0.21","","","1014369"
"1908","Eddie Plank","Athletics","4.97","1.69","2.93","0.04","","","",".226","1.01",".266","70.4%","89","77","","2.17","1.61","0.56","","","1010385"
"1909","Christy Mathewson","Giants","4.87","1.18","4.14","0.07","","","",".198","0.83",".232","75.9%","44","60","","1.14","1.62","-0.48","","","1008235"
"1908","Addie Joss","Naps","3.60","0.83","4.33","0.06","","","",".202","0.81",".226","71.6%","49","77","","1.16","1.66","-0.49","","","1006630"
"1909","Orval Overall","Cubs","6.47","2.53","2.56","0.03","","","",".202","1.00",".253","77.8%","56","66","","1.42","1.66","-0.24","","","1009910"
"1907","Chief Bender","Athletics","4.60","1.40","3.29","0.04","","","",".230","1.00",".266","70.3%","79","73","","2.05","1.68","0.37","","","1000827"
"1984","Dwight Gooden","Mets","11.39","3.01","3.78","0.29","31.4%","8.3%","23.1%",".200","1.07",".296","72.5%","74","49","","2.60","1.69","0.92","","","1004852"
"1910","Chief Bender","Athletics","5.58","1.69","3.30","0.04","","","",".205","0.92",".248","74.1%","65","72","","1.58","1.70","-0.11","","","1000827"
"1908","Bill Donovan","Tigers","5.23","1.97","2.66","0.07","","","",".235","1.08",".277","71.8%","84","78","","2.08","1.70","0.38","","","1003393"
"1909","Heinie Berger","Naps","5.90","2.11","2.79","0.07","","","",".241","1.13",".291","68.0%","111","79","","2.73","1.71","1.02","","","1000870"
"1909","Mordecai Brown","Cubs","4.52","1.39","3.25","0.03","","","",".203","0.87",".236","74.9%","52","67","","1.31","1.71","-0.40","","","1001547"
"1909","Harry Krause","Athletics","5.87","2.07","2.84","0.08","","","",".201","0.94",".244","78.0%","58","83","","1.39","1.72","-0.33","","","1007143"
"1907","Doc White","White Sox","4.36","1.18","3.71","0.09","","","",".248","1.06",".282","71.3%","94","82","","2.26","1.73","0.52","","","1013864"
"1915","Walter Johnson","Senators","5.43","1.50","3.63","0.03","","","",".214","0.93",".256","75.4%","53","65","","1.55","1.74","-0.19","","","1006511"
"1915","Pete Alexander","Phillies","5.76","1.53","3.77","0.07","","","",".193","0.84",".234","74.7%","43","62","","1.22","1.74","-0.52","","","1000128"
"1909","Ed Walsh","White Sox","4.96","1.95","2.54","0.00","","","",".204","0.94",".241","76.4%","60","81","","1.41","1.76","-0.36","","","1013570"
"1909","Rube Waddell","Browns","5.76","2.33","2.47","0.04","","","",".247","1.18",".297","71.3%","98","80","","2.37","1.77","0.60","","","1013467"
"1968","Bob Gibson","Cardinals","7.92","1.83","4.32","0.32","23.1%","5.3%","17.7%",".181","0.85",".230","86.7%","38","65","","1.12","1.77","-0.65","","","1004662"
"1908","Rube Vickers","Athletics","4.43","2.02","2.20","0.00","","","",".228","1.06",".263","67.1%","91","84","","2.21","1.79","0.43","","","1013422"
"1906","Cy Young","Americans","4.38","0.78","5.60","0.09","","","",".262","1.09",".298","58.1%","118","73","","3.19","1.79","1.40","","","1014369"
"1905","Rube Waddell","Athletics","7.86","2.46","3.19","0.14","","","",".200","0.98",".261","75.6%","55","68","","1.48","1.79","-0.32","","","1013467"
"1903","Rube Waddell","Athletics","8.39","2.36","3.55","0.08","","","",".231","1.11",".307","71.1%","80","62","","2.44","1.80","0.65","","","1013467"
"1904","Cy Young","Americans","4.74","0.69","6.90","0.14","","","",".234","0.94",".269","72.8%","74","72","","1.97","1.80","0.17","","","1014369"
"1907","Christy Mathewson","Giants","5.09","1.51","3.36","0.17","","","",".220","0.96",".256","73.2%","80","66","","2.00","1.80","0.20","","","1008235"
"1910","Russ Ford","Highlanders","6.28","2.10","2.99","0.12","","","",".187","0.88",".230","76.2%","63","69","","1.65","1.80","-0.15","","","1004223"
"1906","Ed Walsh","White Sox","5.53","1.88","2.95","0.03","","","",".215","0.98",".258","70.7%","73","78","","1.88","1.81","0.07","","","1013570"
"2014","Clayton Kershaw","Dodgers","10.85","1.41","7.71","0.41","31.9%","4.1%","27.8%",".194","0.86",".278","81.6%","51","49","56","1.77","1.81","-0.04","2.08","2.09","2036"
"1913","Walter Johnson","Senators","6.32","0.99","6.39","0.23","","","",".192","0.78",".233","83.7%","39","63","","1.14","1.82","-0.67","","","1006511"
"1916","Walter Johnson","Senators","5.55","2.00","2.78","0.00","15.7%","5.7%","10.1%",".214","1.01",".257","72.4%","68","66","","1.90","1.82","0.08","","","1006511"
"1908","Mordecai Brown","Cubs","3.54","1.41","2.51","0.03","","","",".195","0.84",".219","76.5%","63","74","","1.47","1.83","-0.36","","","1001547"
"1908","Orval Overall","Cubs","6.68","3.12","2.14","0.12","","","",".206","1.08",".257","71.0%","82","73","","1.92","1.83","0.09","","","1009910"
"1914","Dutch Leonard","Red Sox","7.05","2.40","2.93","0.12","","","",".180","0.89",".229","85.3%","36","69","","0.96","1.84","-0.88","","","1007532"
"1917","Pete Alexander","Phillies","4.64","1.30","3.57","0.09","13.1%","3.7%","9.4%",".229","1.01",".263","74.2%","65","70","","1.83","1.84","-0.01","","","1000128"
"1907","Charlie Smith","Senators","4.14","1.77","2.33","0.00","","","",".258","1.18",".294","66.3%","106","82","","2.61","1.85","0.76","","","1012110"
